date,symbol,strike,expiry,contracts,premium,market_value
2026-03-04,MKC,65,2026-04-17,4000,2.4,960000.0
2026-03-04,MNDY,70,2027-01-15,650,16.6,1079000.0
2026-03-04,MNST,72.5,2026-06-18,2550,2.3,586500.0
2026-03-04,MSFT,320,2027-03-19,1100,16.07,1767700.0
2026-03-04,NVDA,150,2026-03-20,2000,0.81,162000.0
2026-03-04,NVO,35,2026-05-15,10000,2.0,2000000.0
2026-03-04,OKTA,60,2028-01-21,600,11.57,694200.0
2026-03-04,ORCL,115,2026-11-20,450,11.43,514350.0
2026-03-04,ORCL,130,2027-01-15,1500,18.98,2847000.0
2026-03-04,PLTR,95,2027-03-19,2150,9.32,2003800.0
2026-03-04,PSX,140,2026-05-15,2275,2.23,507325.0
2026-03-04,RKT,17,2026-03-06,1000,0.51,51000.0
2026-03-04,ROK,350,2026-04-17,2715,5.95,1615425.0
2026-03-04,SEI,40,2026-03-20,1275,0.65,82875.0
2026-03-04,SLV,55.5,2027-01-15,1300,5.7,741000.0
2026-03-04,SU,45,2026-06-18,1000,0.57,57000.0
2026-03-04,TEM,50,2026-09-18,2000,9.32,1864000.0
2026-03-04,TRIN,15,2026-03-20,3000,0.38,114000.0
2026-03-04,TROW,85,2026-03-20,2000,0.55,110000.0
2026-03-04,TSLA,320,2026-03-20,1200,0.75,90000.0
2026-03-04,TSLA,370,2026-04-17,7000,10.18,7126000.0
2026-03-04,TSM,360,2026-04-17,6000,22.1,13260000.0
2026-03-04,UAL,95,2026-04-17,2000,5.88,1176000.0
2026-03-04,UBER,42.5,2027-01-15,2200,1.14,250800.0
2026-03-04,USAS,8,2026-03-20,2500,0.25,62500.0
2026-03-04,V,270,2026-03-20,1400,0.45,63000.0
2026-03-04,VALE,15,2027-01-15,2050,1.71,350550.0
2026-03-04,VEL,20,2026-03-20,4000,1.98,792000.0
2026-03-04,AFRM,42.5,2026-06-18,900,3.9,351000.0
2026-03-04,AG,21,2026-07-17,5000,1.91,955000.0
2026-03-04,AMD,150,2026-04-17,6000,1.64,984000.0
2026-03-04,ANIP,75,2026-04-17,2000,3.92,784000.0
2026-03-04,AR,27,2026-03-27,15000,0.11,165000.0
2026-03-04,AVGO,230,2026-04-02,3000,1.08,324000.0
2026-03-04,BBY,60,2028-01-21,480,11.12,533760.0
2026-03-04,CRWD,320,2026-04-17,500,3.3,165000.0
2026-03-04,CRWD,320,2028-01-21,200,51.62,1032400.0
2026-03-04,EOSE,11,2026-03-20,2500,4.3,1075000.0
2026-03-04,ESLT,640,2026-09-18,110,26.65,293150.0
2026-03-04,FCX,61,2026-03-20,3300,1.08,356400.0
2026-03-04,FUTU,140,2026-04-17,800,7.45,596000.0
2026-03-04,GFI,50,2027-01-15,1000,10.2,1020000.0
2026-03-04,GLW,136,2026-03-20,5300,4.6,2438000.0
2026-03-04,HD,350,2026-03-20,1000,3.07,307000.0
2026-03-04,HL,10,2027-01-15,2500,0.66,165000.0
2026-03-04,IGV,75,2026-03-20,1000,0.38,38000.0
2026-03-04,IGV,70,2026-06-18,5000,1.65,825000.0
2026-03-04,LLY,890,2026-04-17,950,12.72,1208400.0
2026-03-04,LMND,50,2026-09-18,1000,10.05,1005000.0
2026-03-04,LYFT,13,2027-03-19,1300,2.83,367900.0
2026-03-04,NVDA,202.5,2026-03-20,1300,20.25,2632500.0
2026-03-04,PBR,12,2026-10-16,1350,0.41,55350.0
2026-03-04,PGEN,4,2026-03-20,1000,0.8,80000.0
2026-03-04,PRU,90,2026-04-17,2000,1.2,240000.0
2026-03-04,QCOM,140,2026-04-17,1500,6.85,1027500.0
2026-03-04,RACE,370,2026-12-18,200,42.0,840000.0
2026-03-04,UBER,55,2027-01-15,1000,2.94,294000.0
2026-03-04,V,275,2026-05-15,1200,3.01,361200.0
2026-03-04,VZ,47,2026-05-15,3300,0.97,320100.0
2026-03-04,WSM,175,2026-04-17,2000,5.4,1080000.0
2026-03-04,WULF,11,2026-06-18,2200,1.11,244200.0
2026-03-04,XLF,50,2026-09-18,3000,1.85,555000.0
2026-03-04,XOM,135,2026-12-18,1000,8.38,838000.0
2026-03-04,AAL,8,2027-12-17,2900,0.92,266800.0
2026-03-04,AAPL,270,2026-04-17,10000,12.93,12930000.0
2026-03-04,ADI,332.5,2026-03-06,2900,1.42,411800.0
2026-03-04,BTDR,8,2026-03-06,1000,0.33,33000.0
2026-03-04,BX,100,2026-11-20,1250,10.25,1281250.0
2026-03-04,BX,100,2027-01-15,2150,10.85,2332750.0
2026-03-04,COHR,300,2027-01-15,4000,93.6,37440000.0
2026-03-04,CYTK,50,2026-04-17,1500,2.1,315000.0
2026-03-04,DHI,135,2026-03-27,3000,0.95,285000.0
2026-03-04,EMR,130,2026-06-18,1450,3.85,558250.0
2026-03-04,EW,75,2026-05-15,2585,1.35,348975.0
2026-03-04,FSLR,155,2026-04-17,4500,2.26,1017000.0
2026-03-04,GSK,60,2026-04-17,2685,3.85,1033725.0
2026-03-04,HOOD,60,2026-03-20,5000,0.26,130000.0
2026-03-04,IBM,220,2028-01-21,300,30.12,903600.0
2026-03-04,INTC,40,2026-08-21,1500,4.35,652500.0
2026-03-04,LOW,250,2026-03-20,3640,2.83,1030120.0
2026-03-04,LOW,245,2026-04-02,2925,2.8,819000.0
2026-03-04,MSFT,250,2026-12-18,1000,3.35,335000.0
2026-03-04,MU,425,2026-03-06,5000,26.35,13175000.0
2026-03-04,NOC,640,2026-03-20,1500,1.12,168000.0
2026-03-04,OSG,5,2026-08-21,3000,0.53,159000.0
2026-03-04,PYPL,40,2027-12-17,2000,5.3,1060000.0
2026-03-04,RKT,15,2026-04-17,1330,0.63,83790.0
2026-03-04,RSP,190,2026-05-15,2500,2.48,620000.0
2026-03-04,SATS,115,2027-01-15,900,26.45,2380500.0
2026-03-04,SHLS,5,2026-11-20,5000,1.05,525000.0
2026-03-04,SILJ,37,2026-03-06,15000,1.2,1800000.0
2026-03-04,SILJ,35,2026-03-06,30000,0.33,990000.0
2026-03-04,SOFI,18,2026-03-20,1000,0.71,71000.0
2026-03-04,VALE,16,2026-03-20,1500,0.53,79500.0
2026-03-04,WBD,27,2026-03-20,2500,0.04,10000.0
2026-03-04,ABBV,200,2026-04-02,1900,1.02,193800.0
2026-03-04,BHP,77.5,2026-04-17,600,4.2,252000.0
2026-03-04,C,108,2026-03-20,5000,2.19,1095000.0
2026-03-04,EOSE,4,2026-08-21,2500,0.66,165000.0
2026-03-04,ETN,325,2026-03-27,1860,3.85,716100.0
2026-03-04,FIGR,35,2026-08-21,1000,10.75,1075000.0
2026-03-04,GLD,425,2026-05-15,24600,7.15,17589000.0
2026-03-04,GOOGL,310,2026-04-02,10000,14.8,14800000.0
2026-03-04,INTC,48,2026-04-17,3725,5.1,1899750.0
2026-03-04,LITE,800,2027-01-15,1200,308.55,37026000.0
2026-03-04,MU,400,2026-03-13,5000,18.42,9210000.0
2026-03-04,NTES,105,2026-09-18,1500,8.1,1215000.0
2026-03-04,NVDA,145,2026-11-20,2000,10.75,2150000.0
2026-03-04,ONC,330,2026-08-21,100,51.6,516000.0
2026-03-04,PENN,11,2026-04-17,1200,0.11,13200.0
2026-03-04,TCOM,45,2027-01-15,1100,4.25,467500.0
2026-03-04,TSEM,85,2026-04-17,7800,1.02,795600.0
2026-03-04,TSM,450,2027-01-15,2000,114.7,22940000.0
2026-03-04,TTD,20,2026-03-06,10000,0.02,20000.0
2026-03-04,UAL,105,2026-03-20,1500,8.22,1233000.0
2026-03-04,USAR,17,2026-03-20,1500,0.84,126000.0
2026-03-04,UTHR,420,2026-04-17,3450,10.7,3691500.0
2026-03-04,VRT,195,2026-04-02,4190,2.05,858950.0
2026-03-04,WFC,79,2026-03-20,5000,0.81,405000.0
2026-03-04,WMT,114,2026-04-02,5000,0.69,345000.0
2026-03-04,ZM,70,2026-06-18,3000,3.5,1050000.0
2026-03-04,ZM,65,2026-09-18,5000,3.7,1850000.0
2026-03-04,ALAB,95,2026-06-18,550,10.8,594000.0
2026-03-04,ARES,110,2026-04-17,800,6.0,480000.0
2026-03-04,BAC,40,2026-04-17,8800,0.3,264000.0
2026-03-04,BBAR,13,2026-07-17,1000,2.67,267000.0
2026-03-04,CLSK,8.5,2026-03-27,4000,0.28,112000.0
2026-03-04,ESTC,50,2026-12-18,400,9.7,388000.0
2026-03-04,FLNC,13,2026-08-21,1500,2.77,415500.0
2026-03-04,FRMI,9,2026-03-06,7000,0.45,315000.0
2026-03-04,GDX,115,2027-03-19,2000,22.88,4576000.0
2026-03-04,GLW,120,2027-03-19,3200,19.88,6361600.0
2026-03-04,IREN,23,2026-03-06,36000,0.04,144000.0
2026-03-04,KKR,87.5,2026-04-17,1125,3.75,421875.0
2026-03-04,MU,240,2026-08-21,650,14.38,934700.0
2026-03-04,MU,320,2026-10-16,800,44.45,3556000.0
2026-03-04,NFLX,75,2026-03-20,2250,0.08,18000.0
2026-03-04,NVDA,130,2027-09-17,1300,14.2,1846000.0
2026-03-04,NVDL,75,2026-04-17,2250,5.97,1343250.0
2026-03-04,OKTA,60,2026-09-18,4000,5.75,2300000.0
2026-03-04,ONDS,5,2028-01-21,49264,1.85,9113840.0
2026-03-04,PUBM,7.5,2026-05-15,3000,0.53,159000.0
2026-03-04,PYPL,35,2026-05-15,5200,0.47,244400.0
2026-03-04,Q,90,2026-04-17,4500,2.0,900000.0
2026-03-04,REAL,15,2026-04-17,3500,3.2,1120000.0
2026-03-04,TJX,145,2026-09-18,1000,4.53,453000.0
2026-03-04,WBD,22,2026-12-18,2000,0.81,162000.0
2026-03-04,WMT,113,2026-04-02,4000,0.67,268000.0
2026-03-04,WULF,16,2026-04-17,5000,2.35,1175000.0
2026-03-04,XOM,125,2026-09-18,1900,4.12,782800.0
2026-03-04,XYZ,55,2026-12-18,1000,6.2,620000.0
2026-03-04,AFRM,42.5,2026-06-18,900,3.9,351000.0
2026-03-04,AG,21,2026-07-17,5000,1.91,955000.0
2026-03-04,AMD,150,2026-04-17,6000,1.64,984000.0
2026-03-04,ANIP,75,2026-04-17,2000,3.92,784000.0
2026-03-04,AR,27,2026-03-27,15000,0.11,165000.0
2026-03-04,AVGO,230,2026-04-02,3000,1.08,324000.0
2026-03-04,BBY,60,2028-01-21,480,11.12,533760.0
2026-03-04,CRWD,320,2026-04-17,500,3.3,165000.0
2026-03-04,CRWD,320,2028-01-21,200,51.62,1032400.0
2026-03-04,EOSE,11,2026-03-20,2500,4.3,1075000.0
2026-03-04,ESLT,640,2026-09-18,110,26.65,293150.0
2026-03-04,FCX,61,2026-03-20,3300,1.08,356400.0
2026-03-04,FUTU,140,2026-04-17,800,7.45,596000.0
2026-03-04,GFI,50,2027-01-15,1000,10.2,1020000.0
2026-03-04,GLW,136,2026-03-20,5300,4.6,2438000.0
2026-03-04,HD,350,2026-03-20,1000,3.07,307000.0
2026-03-04,HL,10,2027-01-15,2500,0.66,165000.0
2026-03-04,IGV,75,2026-03-20,1000,0.38,38000.0
2026-03-04,IGV,70,2026-06-18,5000,1.65,825000.0
2026-03-04,LLY,890,2026-04-17,950,12.72,1208400.0
2026-03-04,LMND,50,2026-09-18,1000,10.05,1005000.0
2026-03-04,LYFT,13,2027-03-19,1300,2.83,367900.0
2026-03-04,NVDA,202.5,2026-03-20,1300,20.25,2632500.0
2026-03-04,PBR,12,2026-10-16,1350,0.41,55350.0
2026-03-04,PGEN,4,2026-03-20,1000,0.8,80000.0
2026-03-04,PRU,90,2026-04-17,2000,1.2,240000.0
2026-03-04,QCOM,140,2026-04-17,1500,6.85,1027500.0
2026-03-04,RACE,370,2026-12-18,200,42.0,840000.0
2026-03-04,UBER,55,2027-01-15,1000,2.94,294000.0
2026-03-04,V,275,2026-05-15,1200,3.01,361200.0
2026-03-04,VZ,47,2026-05-15,3300,0.97,320100.0
2026-03-04,WSM,175,2026-04-17,2000,5.4,1080000.0
2026-03-04,WULF,11,2026-06-18,2200,1.11,244200.0
2026-03-04,XLF,50,2026-09-18,3000,1.85,555000.0
2026-03-04,XOM,135,2026-12-18,1000,8.38,838000.0
2026-03-04,AES,13,2027-01-15,1000,0.25,25000.0
2026-03-04,AG,27,2026-04-17,6000,2.43,1458000.0
2026-03-04,AMD,190,2026-03-20,1700,4.97,844900.0
2026-03-04,AMD,150,2026-10-16,1000,10.72,1072000.0
2026-03-04,AMZN,180,2026-04-10,1500,0.98,147000.0
2026-03-04,APO,105,2026-04-17,1700,4.6,782000.0
2026-03-04,AVGO,225,2026-04-10,4500,1.15,517500.0
2026-03-04,BBY,60,2026-05-15,2000,1.97,394000.0
2026-03-04,C,100,2027-01-15,4000,8.32,3328000.0
2026-03-04,CAVA,79,2026-03-20,4000,3.27,1308000.0
2026-03-04,COP,115,2026-06-18,750,7.67,575250.0
2026-03-04,CRWV,37.5,2026-05-15,24000,0.74,1776000.0
2026-03-04,CRWV,70,2026-10-16,1200,16.2,1944000.0
2026-03-04,CTSH,55,2026-03-20,2400,0.35,84000.0
2026-03-04,DAL,50,2028-01-21,800,6.75,540000.0
2026-03-04,EOG,117,2026-03-06,1000,0.05,5000.0
2026-03-04,HBM,25,2026-11-20,2000,4.9,980000.0
2026-03-04,HOOD,75,2026-05-15,4000,6.62,2648000.0
2026-03-04,IBRX,9,2026-04-17,1500,1.52,228000.0
2026-03-04,IREN,35,2026-12-18,6000,9.6,5760000.0
2026-03-04,JBHT,210,2026-05-15,600,7.05,423000.0
2026-03-04,LITE,800,2026-06-18,1100,226.7,24937000.0
2026-03-04,MS,150,2026-03-06,3000,0.12,36000.0
2026-03-04,MU,415,2026-03-13,5000,26.52,13260000.0
2026-03-04,MU,330,2026-03-13,2000,2.38,476000.0
2026-03-04,MU,250,2026-04-17,2000,2.73,546000.0
2026-03-04,ONON,42,2026-03-20,6000,1.19,714000.0
2026-03-04,PANW,145,2026-08-21,400,10.6,424000.0
2026-03-04,PLTR,155,2026-11-20,1100,28.93,3182300.0
2026-03-04,QQQ,620,2026-03-31,3000,17.62,5286000.0
2026-03-04,RGLD,270,2026-04-17,400,12.9,516000.0
2026-03-04,SOFI,16,2026-07-17,1700,1.61,273700.0
2026-03-04,USAS,9,2026-03-20,5000,0.53,265000.0
2026-03-04,VLO,165,2026-04-17,3000,0.44,132000.0
2026-03-04,VLO,180,2026-04-17,3000,1.19,357000.0
2026-03-04,VRT,210,2026-11-20,400,28.48,1139200.0
2026-03-04,XLE,57.5,2026-09-18,5000,4.97,2485000.0
2026-03-04,XLK,92.5,2026-09-18,3000,1.91,573000.0
2026-03-04,XOM,146,2026-03-06,1000,0.45,45000.0
2026-03-04,AAL,12,2026-09-18,7000,1.62,1134000.0
2026-03-04,ADBE,260,2027-06-17,250,39.72,993000.0
2026-03-04,AFRM,47.5,2026-08-21,450,7.6,342000.0
2026-03-04,ALB,150,2027-01-15,750,27.8,2085000.0
2026-03-04,ANET,105,2026-05-15,1750,2.8,490000.0
2026-03-04,APO,95,2026-05-15,1000,3.55,355000.0
2026-03-04,ASTS,90,2026-04-17,8000,7.58,6064000.0
2026-03-04,AVGO,240,2026-03-20,1000,0.77,77000.0
2026-03-04,B,45,2026-04-02,1500,1.87,280500.0
2026-03-04,BABA,120,2026-06-18,2500,6.08,1520000.0
2026-03-04,BILL,32.5,2026-05-15,1400,1.38,193200.0
2026-03-04,CAI,20,2026-04-17,1000,2.3,230000.0
2026-03-04,CLS,190,2026-04-17,3800,3.38,1284400.0
2026-03-04,COHR,200,2027-01-15,300,38.65,1159500.0
2026-03-04,CRDO,60,2026-04-17,15000,0.57,855000.0
2026-03-04,CRDO,85,2026-06-18,1000,10.2,1020000.0
2026-03-04,CSX,42,2026-03-20,4000,0.6,240000.0
2026-03-04,CVS,70,2026-05-15,2700,1.34,361800.0
2026-03-04,EQX,17.5,2027-01-15,1000,3.73,373000.0
2026-03-04,ETN,315,2026-04-10,3045,4.35,1324575.0
2026-03-04,GLD,420,2026-04-17,5000,4.03,2015000.0
2026-03-04,GOOGL,275,2026-03-20,2500,1.43,357500.0
2026-03-04,GOOGL,200,2026-12-18,2400,4.95,1188000.0
2026-03-04,GPN,85,2027-01-15,700,14.95,1046500.0
2026-03-04,HOOD,65,2026-03-20,1700,0.51,86700.0
2026-03-04,IGV,65,2026-06-18,10000,1.05,1050000.0
2026-03-04,INTC,44,2026-07-17,2000,5.6,1120000.0
2026-03-04,KKR,85,2026-05-15,1000,4.55,455000.0
2026-03-04,KMI,33,2026-03-20,1200,0.42,50400.0
2026-03-04,KO,75,2026-03-20,3000,0.49,147000.0
2026-03-04,LUV,45,2026-03-20,3900,1.36,530400.0
2026-03-04,MCHP,57.5,2027-01-15,2860,6.45,1844700.0
2026-03-04,MET,77.5,2027-01-15,6000,10.55,6330000.0
2026-03-04,MU,220,2026-05-15,5150,3.26,1678900.0
2026-03-04,NMRK,15,2026-09-18,1000,2.02,202000.0
2026-03-04,NUGT,210,2026-04-17,2000,14.55,2910000.0
2026-03-04,NVDA,165,2026-04-17,3000,4.62,1386000.0
2026-03-04,NVDA,170,2028-12-15,2000,40.15,8030000.0
2026-03-04,NVDA,175,2028-12-15,3000,42.9,12870000.0
2026-03-04,OWL,11,2026-06-18,45000,1.9,8550000.0
2026-03-04,PLTR,100,2026-04-17,9250,0.62,573500.0
2026-03-04,Q,100,2026-05-15,1000,4.6,460000.0
2026-03-04,SPY,560,2026-04-17,35000,1.37,4795000.0
2026-03-04,STM,28,2026-04-17,2000,0.48,96000.0
2026-03-04,TBPH,15,2026-06-18,5000,2.2,1100000.0
2026-03-04,TCOM,45,2026-09-18,1000,3.12,312000.0
2026-03-04,TSM,350,2026-05-15,4000,22.57,9028000.0
2026-03-04,VRT,175,2026-04-17,3550,1.06,376300.0
2026-03-04,VRT,270,2026-05-15,2000,38.9,7780000.0
2026-03-04,WFC,70,2027-01-15,3500,4.42,1547000.0
2026-03-04,WMT,110,2026-04-17,1000,0.62,62000.0
2026-03-04,ABUS,4,2026-03-20,2400,0.06,14400.0
2026-03-04,AMD,145,2026-04-10,4000,1.07,428000.0
2026-03-04,APA,27.5,2026-06-18,2000,1.62,324000.0
2026-03-04,AVGO,235,2026-04-10,3950,1.62,639900.0
2026-03-04,BABA,125,2026-03-06,2000,0.47,94000.0
2026-03-04,BABA,130,2026-03-20,1000,4.17,417000.0
2026-03-04,BILL,32.5,2026-05-15,1500,1.38,207000.0
2026-03-04,COF,140,2026-06-18,1000,1.88,188000.0
2026-03-04,CRWD,330,2026-05-15,555,7.35,407925.0
2026-03-04,CVS,70,2027-01-15,4000,4.83,1932000.0
2026-03-04,EEM,50,2026-06-18,20000,0.58,1160000.0
2026-03-04,EQNR,29,2026-03-20,2000,0.35,70000.0
2026-03-04,EQT,60,2026-04-17,1000,2.33,233000.0
2026-03-04,EWZ,30,2027-12-17,4000,3.12,1248000.0
2026-03-04,GEV,810,2026-06-18,400,74.6,2984000.0
2026-03-04,GOOGL,220,2026-07-17,1000,3.3,330000.0
2026-03-04,GRAB,4,2026-07-17,20000,0.39,780000.0
2026-03-04,KLAR,13.5,2026-03-06,6000,0.42,252000.0
2026-03-04,KTOS,90,2027-01-15,2000,24.05,4810000.0
2026-03-04,LIF,40,2026-03-20,1100,1.15,126500.0
2026-03-04,MDLZ,52.5,2026-06-18,3000,1.33,399000.0
2026-03-04,MMM,170,2026-05-15,400,13.52,540800.0
2026-03-04,MRK,100,2026-09-18,1000,3.75,375000.0
2026-03-04,MSTR,129,2026-03-06,1500,0.2,30000.0
2026-03-04,NFLX,92,2026-03-27,1100,1.25,137500.0
2026-03-04,NFLX,82,2026-05-15,2550,1.53,390150.0
2026-03-04,NVDA,160,2026-06-18,1300,8.35,1085500.0
2026-03-04,NVDA,145,2028-01-21,2000,22.3,4460000.0
2026-03-04,NVO,30,2026-07-17,2500,1.23,307500.0
2026-03-04,PDD,100,2026-04-17,1000,5.3,530000.0
2026-03-04,PSTG,45,2028-01-21,2000,10.1,2020000.0
2026-03-04,QQQ,620,2026-03-31,3000,17.62,5286000.0
2026-03-04,SLV,76,2026-03-27,4000,5.97,2388000.0
2026-03-04,TQQQ,50,2026-03-13,10000,1.93,1930000.0
2026-03-04,TSLA,310,2026-11-20,750,22.1,1657500.0
2026-03-04,TTWO,185,2026-04-17,5050,2.25,1136250.0
2026-03-04,VISN,15,2028-01-21,5000,0.97,485000.0
